Gastos medios y distribución porcentual;Quintil de gasto;Códigos de gasto (2 dígitos);Periodo;Total
Gasto medio por hogar;Total;Índice general;2023;32.616,66
Gasto medio por hogar;Total;Índice general;2022;31.567,71
Gasto medio por hogar;Total;Índice general;2021;29.243,61
Gasto medio por hogar;Total;Índice general;2020;26.995,76
Gasto medio por hogar;Total;Índice general;2019;30.242,76
Gasto medio por hogar;Total;Índice general;2018;29.871,28
Gasto medio por hogar;Total;Índice general;2017;29.188,19
Gasto medio por hogar;Total;Índice general;2016;28.199,88
Gasto medio por hogar;Total;Índice general;2015;27.473,04
Gasto medio por hogar;Total;Índice general;2014;27.089,83
Gasto medio por hogar;Total;Índice general;2013;27.150,75
Gasto medio por hogar;Total;Índice general;2012;28.197
Gasto medio por hogar;Total;Índice general;2011;29.187
Gasto medio por hogar;Total;Índice general;2010;29.492,15
Gasto medio por hogar;Total;Índice general;2009;30.245,09
Gasto medio por hogar;Total;Índice general;2008;31.772,62
Gasto medio por hogar;Total;Índice general;2007;31.701,36
Gasto medio por hogar;Total;Índice general;2006;30.278,78
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2023;5.333,49
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2022;5.050,24
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2021;4.805,82
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2020;4.578,87
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2019;4.286
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2018;4.223,33
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2017;4.107,61
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2016;4.123,28
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2015;4.125,43
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2014;4.028,21
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2013;4.098,35
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2012;4.140,68
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2011;4.149,2
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2010;4.192,12
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2009;4.317,23
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2008;4.576,92
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2007;4.459,67
Gasto medio por hogar;Total;01 Alimentos y bebidas no alcohólicas;2006;4.308,67
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2023;473,61
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2022;480,75
Gasto medio por hogar;Total;02 Bebidas alcohólicas y tabaco;2021;495,63
